project_name,wb_region,country_/_economy,country_/_economy_lending_group,country_/_economy_fcs_status,country_/_economy_fcs_lending_group,practice_group,global_practice,agreement_type,lending_instrument_type,approval_fy,final_closing_fy,evaluation_type,outcome,quality_at_entry,quality_of_supervision,bank_performance,m&e_quality,evaluation_fy
Zambia Malaria Booster Project,Eastern and Southern Africa,Zambia,IDA,non-FCS,IDA non-FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2006.0,2013.0,ICRR,Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2017
Integrated Coastal Zone Management & Clean-Up Project (APL #1),Europe and Central Asia,Albania,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,IPF,2005.0,2015.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
Renewable Energy Scale-up Program (CRESP),East Asia and Pacific,China,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Energy & Extractives,IBRD,IPF,2005.0,2012.0,PPAR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2017
China - Renewable Energy Scale-up Program (CRESP),East Asia and Pacific,China,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Energy & Extractives,GEF,IPF,2005.0,2012.0,PPAR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2017
Water And Sanitation Sector Support Project 1st APL,Latin America and Caribbean,Colombia,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Water,IBRD,IPF,2005.0,2011.0,PPAR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Negligible,2017
Urban Water Project,Western and Central Africa,Ghana,IDA,non-FCS,IDA non-FCS,Sustainable Development,Water,IDA,IPF,2005.0,2016.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2017
Government Financial Management and Revenue Administration Project,East Asia and Pacific,Indonesia,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions",Governance,IBRD,IPF,2005.0,2016.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
India: Tamil Nadu Health Systems Project,South Asia,India,IBRD,non-FCS,IBRD non-FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2005.0,2016.0,ICRR,Satisfactory,Satisfactory,Highly Satisfactory,Satisfactory,Substantial,2017
MN-Index-Based Livestock Insurance,East Asia and Pacific,Mongolia,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2005.0,2016.0,ICRR,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Substantial,2017
Northern Corridor Transport Improvement Project,Eastern and Southern Africa,Kenya,Blend,non-FCS,Blend non-FCS,Infrastructure,Transport,IDA,IPF,2004.0,2016.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Modest,2017
Second  Education Development Project,East Asia and Pacific,Lao People's Democratic Republic,IDA,non-FCS,IDA non-FCS,Human Development,Education,IDA,IPF,2004.0,2014.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2017
Development of State Statistics System for Monitoring Social & Economic Transformation Project,Europe and Central Asia,Ukraine,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions",Poverty and Equity,IBRD,IPF,2004.0,2014.0,PPAR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2017
Africa Stockpiles program,"Middle East, North Africa, Afghanistan, and Pakist",Middle East and North Africa,Other,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",,,2003.0,,PPAR,Unsatisfactory,Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Negligible,2017
WATER SECTOR REFORM ASSISTANCE PROJECT,Latin America and Caribbean,Colombia,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Water,IBRD,IPF,2002.0,2011.0,PPAR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Modest,2017
URBAN TRANSPORT DEVELOPMENT PROJECT,"Middle East, North Africa, Afghanistan, and Pakist",Lebanon,IBRD,FCS,IBRD FCS,Infrastructure,Transport,IBRD,IPF,2002.0,2016.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2017
Nutrition Enhancement Program,Western and Central Africa,Senegal,IDA,non-FCS,IDA non-FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2002.0,2007.0,PPAR,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Substantial,2017
Second Environmental Management and Capacity Building Project,Eastern and Southern Africa,Uganda,IDA,non-FCS,IDA non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,IPF,2001.0,2013.0,ICRR,Unsatisfactory,Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Negligible,2017
CO CARTAGENA WTR SUPPLY & SEWERAGE ENV.,Latin America and Caribbean,Colombia,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Water,IBRD,IPF,2000.0,2009.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2017
URBAN MOBILITY IMPROVEMENT PROJECT,Western and Central Africa,Senegal,IDA,non-FCS,IDA non-FCS,Infrastructure,Transport,IDA,IPF,2000.0,2009.0,PPAR,Unsatisfactory,Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Negligible,2017
AR B.A.URB.TSP,Latin America and Caribbean,Argentina,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,1997.0,2011.0,PPAR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2017
Somalia Recurrent Cost & Reform Financing Facility,Eastern and Southern Africa,Somalia,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions",Governance,RETF,IPF,2015.0,2015.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2016
AL Financial Sector DPL,Europe and Central Asia,Albania,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,DPF,2014.0,2015.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2016
CO: Enhancing Fiscal Capacity to Promote Shared Prosperity DPL,Latin America and Caribbean,Colombia,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions",Poverty and Equity,IBRD,DPF,2014.0,2015.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2016
Solomon Islands Development Policy Operation-2,East Asia and Pacific,Solomon Islands,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2014.0,2015.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2016
Third Minas Gerais Development Partnership DPL,Latin America and Caribbean,Brazil,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions",Governance,IBRD,DPF,2013.0,2014.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2016
Belo Horizonte Urban Development Policy Loan,Latin America and Caribbean,Brazil,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IBRD,DPF,2013.0,2015.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Substantial,2016
BT:  DPC 2,South Asia,Bhutan,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2013.0,2014.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2016
Second Emergency Agricultural Productivity Support Project,Western and Central Africa,Guinea,IDA,non-FCS,IDA non-FCS,Sustainable Development,Agriculture and Food,RETF,IPF,2013.0,2016.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2016
Economic Reconstruction and Growth Development Policy Credit,Latin America and Caribbean,Haiti,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2013.0,2014.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Negligible,2016
Second DPL in support of the Plan Maroc Vert,"Middle East, North Africa, Afghanistan, and Pakist",Morocco,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Agriculture and Food,IBRD,DPF,2013.0,2014.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2016
FYR Macedonia Public Expenditure PBG,Europe and Central Asia,North Macedonia,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2013.0,2014.0,PPAR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2016
Mauritius Second Private Sector Competitiveness DPL,Eastern and Southern Africa,Mauritius,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2013.0,2014.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2016
MU -Second Public Sector Performance DPL,Eastern and Southern Africa,Mauritius,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2013.0,2014.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2016
Malawi Economic Recovery Development Policy Operation 1,Eastern and Southern Africa,Malawi,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2013.0,2014.0,ICRR,Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2016
PE Social Inclusion DPL,Latin America and Caribbean,Peru,IBRD,non-FCS,IBRD non-FCS,Human Development,Social Protection & Jobs,IBRD,DPF,2013.0,2014.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Modest,2016
Tajikistan PDPG6,Europe and Central Asia,Tajikistan,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2013.0,2013.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2016
Tonga Economic Recovery Operation II,East Asia and Pacific,Tonga,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2013.0,2013.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2016
Competitiveness and Savings Development Policy Loan (CSDPL),Europe and Central Asia,Turkiye,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2013.0,2014.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2016
Higher Education Development Policy Program - Third Operation,East Asia and Pacific,Viet Nam,IBRD,non-FCS,IBRD non-FCS,Human Development,Education,IDA,DPF,2013.0,2014.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2016
Third Development Policy Operation,Europe and Central Asia,Armenia,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2012.0,2013.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2016
Burundi Fifth Economic Reform Support Grant,Eastern and Southern Africa,Burundi,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2012.0,2013.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2016
CG Rep: Transparency & Governance Repeat Project,Western and Central Africa,"Congo, Republic of",Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2012.0,2015.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Negligible,2016
DO-3rd Perform.&Accbilty of SocSctrs DPL,Latin America and Caribbean,Dominican Republic,IBRD,non-FCS,IBRD non-FCS,Human Development,Social Protection & Jobs,IBRD,DPF,2012.0,2013.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2016
Poverty Reduction Support Grant (PRSG-8),Western and Central Africa,Ghana,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2012.0,2012.0,PPAR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,,2016
GM-Budget Support -DPL (First in the series),Western and Central Africa,"Gambia, The",IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2012.0,2013.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Substantial,2016
FYR Macedonia Policy Based Guarantee,Europe and Central Asia,North Macedonia,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2012.0,2013.0,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2016
Montenegro Financial Sector Policy Based Guarantee,Europe and Central Asia,Montenegro,IBRD,non-FCS,IBRD non-FCS,Other,Other,IBRD,DPF,2012.0,2014.0,PPAR,Moderately Unsatisfactory,Moderately Unsatisfactory,Satisfactory,Moderately Unsatisfactory,Modest,2016
Mauritius First Public Sector Performance Development Policy Loan,Eastern and Southern Africa,Mauritius,IBRD,non-FCS,IBRD non-FCS,Human Development,Social Protection & Jobs,IBRD,DPF,2012.0,2013.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2016
Mauritius -  Priv Sec Competitiveness Development Policy Loan (PSC - DPL),Eastern and Southern Africa,Mauritius,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,DPF,2012.0,2013.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2016
GPRC-2 Supplemental Financing,Western and Central Africa,Niger,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2012.0,2012.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Modest,2016
Nigeria Edo State First Development Policy Operation,Western and Central Africa,Nigeria,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2012.0,2014.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2016
Eighth Poverty Reduction Support Financing,Eastern and Southern Africa,Rwanda,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2012.0,2012.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2016
Statistics for Result Facility,Eastern and Southern Africa,Rwanda,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions",Poverty and Equity,RETF,IPF,2012.0,2015.0,ICRR,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2016
Solomon Islands Development Policy Operation 1,East Asia and Pacific,Solomon Islands,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2012.0,2014.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2016
Tonga Economic Recovery Operation,East Asia and Pacific,Tonga,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2012.0,2012.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2016
Participatory Service Delivery for Reintegration SPF,"Middle East, North Africa, Afghanistan, and Pakist",Tunisia,IBRD,non-FCS,IBRD non-FCS,Human Development,Social Protection & Jobs,RETF,IPF,2012.0,2015.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2016
Environmental Sustainability and Energy Sector (ESES) DPL3,Europe and Central Asia,Turkiye,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Energy & Extractives,IBRD,DPF,2012.0,2013.0,PPAR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2016
Second Sustainable Employment Development Policy Operation,Europe and Central Asia,Kosovo,IDA,FCS,IDA FCS,Human Development,Social Protection & Jobs,SPF,DPF,2012.0,2012.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2016
5M- Regional Coordination on Improved Water Resources Management and Capacity Building in Cooperation with NASA,"Middle East, North Africa, Afghanistan, and Pakist",Middle East and North Africa,Other,,Other,Sustainable Development,Water,GEF,IPF,2011.0,2015.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2016
AR Third National Communication UNFCCC,Latin America and Caribbean,Argentina,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",GEF,IPF,2011.0,2015.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2016
Second Development Policy Operation,Europe and Central Asia,Armenia,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2011.0,2011.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2016
Burundi-Fourth Economic Reform Support Grant - ERSG IV,Eastern and Southern Africa,Burundi,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2011.0,2012.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2016
Burundi - Emergency Energy Project from IDA CRW,Eastern and Southern Africa,Burundi,IDA,FCS,IDA FCS,Infrastructure,Energy & Extractives,IDA,IPF,2011.0,2014.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2016
Bangladesh - Employment Generation Program for the Poorest,South Asia,Bangladesh,IDA,non-FCS,IDA non-FCS,Human Development,Social Protection & Jobs,IDA,IPF,2011.0,2014.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2016
Bhutan Development Policy Credit 1,South Asia,Bhutan,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2011.0,2012.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2016
