project_name,wb_region,country_/_economy,country_/_economy_lending_group,country_/_economy_fcs_status,country_/_economy_fcs_lending_group,practice_group,global_practice,agreement_type,lending_instrument_type,approval_fy,final_closing_fy,evaluation_type,outcome,quality_at_entry,quality_of_supervision,bank_performance,m&e_quality,evaluation_fy,CountryCode,GDP_USD,GDP_per_capita_USD,GDP_growth_pct,Inflation_CPI_pct,Unemployment_pct,Govt_debt_pct_GDP,Current_account_pct_GDP,Population_total
Cabo Verde - Transport Sector Reform Project,Western and Central Africa,Cabo Verde,Blend,non-FCS,Blend non-FCS,Infrastructure,Transport,IDA,IPF,2013,2023.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,CPV,2028910915.16446,3960.97596791345,0.632136727385131,1.50654285701401,11.392,,-5.29145710856412,512225.0
Haiti Business Development and Investment Project,Latin America and Caribbean,Haiti,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2013,2022.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Satisfactory,Moderately Satisfactory,Substantial,2024,HTI,14902488604.2421,1457.83221179626,4.32478411472874,4.7650240477914,13.642,,-3.76338389441216,10222362.0
India: ICDS Systems Strengthening & Nutrition Improvement Program (ISSNIP),South Asia,India,IBRD,non-FCS,IBRD non-FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2013,2023.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2024,IND,1856721507621.58,1432.84397512195,6.38610640094825,10.0178784746103,7.711,50.3118273627008,-2.64566711733892,1295829511.0
LA-Scaling-Up Participatory Sustainable Forest Management,East Asia and Pacific,Lao People's Democratic Republic,IDA,non-FCS,IDA non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,IPF,2013,2023.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2024,,,,,,,,,
Liberia  Accelerated Electricity Expansion Project (LACEEP),Western and Central Africa,Liberia,IDA,non-FCS,IDA non-FCS,Infrastructure,Energy & Extractives,IDA,IPF,2013,2023.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2024,LBR,3177198100.0,710.744570927863,8.68728781639683,7.57730681741402,2.08,,-32.8209688370026,4470239.0
Moldova Education Reform Project,Europe and Central Asia,Moldova,IBRD,non-FCS,IBRD non-FCS,Human Development,Education,IDA,IPF,2013,2023.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2024,MDA,9496717875.51932,3321.04397795719,9.0438656074181,4.59787897363121,1.873,19.9179521587446,-5.16294162285186,2859558.0
Myanmar National Community Driven Development Project,East Asia and Pacific,Myanmar,IDA,FCS,IDA FCS,Sustainable Development,Social Sustainability and Inclusion,IDA,IPF,2013,2023.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,MMR,60269732854.827,1199.09561597055,8.42600102501767,5.64303883425512,0.775,,-0.644739708349136,50262658.0
Mozambique Mining and Gas Technical Assistance Project,Eastern and Southern Africa,Mozambique,IDA,FCS,IDA FCS,Infrastructure,Energy & Extractives,IDA,IPF,2013,2023.0,ICRR,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,MOZ,17198073057.1981,686.505672517351,6.57141389665537,4.26135250941966,3.346,,-36.3613191591472,25051611.0
Senegal Quality and Equity of Basic Education,Western and Central Africa,Senegal,IDA,non-FCS,IDA non-FCS,Human Development,Education,IDA,IPF,2013,2022.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2024,SEN,18918667724.8817,1379.83196553924,2.41238527605579,0.710245486695197,4.986,,-8.19227245767782,13710849.0
Electricity Sector Support Project,Western and Central Africa,Senegal,IDA,non-FCS,IDA non-FCS,Infrastructure,Energy & Extractives,IDA,IPF,2013,2022.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Satisfactory,Moderately Satisfactory,Modest,2024,SEN,18918667724.8817,1379.83196553924,2.41238527605579,0.710245486695197,4.986,,-8.19227245767782,13710849.0
Zambia Strengthening Climate Resilience (PPCR Phase II),Eastern and Southern Africa,Zambia,IDA,non-FCS,IDA non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",RETF,IPF,2013,2023.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,ZMB,28037239462.7142,1820.71854827391,5.05753695047252,6.97767605490313,7.264,24.2239941438767,-0.575955750525117,15398997.0
Improved Investment Climate within the Organization for the Harmonization of Business Laws in Africa (OHADA),Western and Central Africa,Western and Central Africa,Other,non-FCS,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2012,2023.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,,,,,,,,,
Social Assistance Modernization Project,Europe and Central Asia,Albania,IBRD,non-FCS,IBRD non-FCS,Human Development,Social Protection & Jobs,IBRD,IPF,2012,2023.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,ALB,12246499747.9714,4222.3470988913,0.984129880204108,2.03159268395297,13.376,64.0504160397904,-10.2612568930744,2900401.0
Bangladesh Integrated Agricultural Productivity Project,South Asia,Bangladesh,IDA,non-FCS,IDA non-FCS,Sustainable Development,Agriculture and Food,RETF,IPF,2012,2017.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,BGD,133310747603.483,859.680536375497,6.52145877906443,6.21750422069283,4.071,,1.93195276968292,155070101.0
Caixa Solid Waste Management and Carbon Finance Project,Latin America and Caribbean,Brazil,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",RETF,IPF,2012,2023.0,ICRR,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,BRA,2465227802806.76,12521.7213519966,1.92117598576537,5.40349914037005,7.251,59.8494900007969,-3.75941611687375,196876111.0
Cameroon Mining Sector Technical Assistance Project,Western and Central Africa,Cameroon,Blend,FCS,Blend FCS,Infrastructure,Energy & Extractives,IDA,IPF,2012,2022.0,ICRR,Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Negligible,2024,CMR,30155062329.2821,1449.09874362279,4.62597872209571,2.73529677529534,3.835,,-3.17006037197893,20809529.0
Nigeria Erosion  and Watershed Management Project,Western and Central Africa,Nigeria,Blend,FCS,Blend FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,IPF,2012,2022.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,NGA,463971018239.281,2633.19734671361,4.23006117493168,12.2242413020584,3.76,,3.74468964478931,176200625.0
Pacific Aviation Investment - Tuvalu,East Asia and Pacific,Tuvalu,IDA,FCS,IDA FCS,Infrastructure,Transport,IDA,IPF,2012,2023.0,ICRR,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,TUV,39345579.4723758,3598.46163091053,-2.12765957446808,,,,16.3382480187047,10934.0
Central Asia Hydrometeorology Modernization Project,Europe and Central Asia,Central Asia,Other,non-FCS,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2011,2023.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2024,,,,,,,,,
Plan Belgrano Water Supply and Sanitation Services Development Project,Latin America and Caribbean,Argentina,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Water,IBRD,IPF,2011,2023.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2024,ARG,530158122010.442,12704.2831819684,6.00395169280579,,7.18,,-1.00728084144866,41730660.0
CO Rio Bogota Environmental Recuperation and Flood Control Project,Latin America and Caribbean,Colombia,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Water,IBRD,IPF,2011,2023.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,COL,334966134804.887,7400.9940695669,6.94789198173555,3.41503344776242,10.288,62.8601328222053,-2.90611447190462,45259614.0
Eastern Dedicated Freight Corridor - I,South Asia,India,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,2011,2019.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,IND,1823051829894.55,1445.46127486037,5.24131619937695,8.9117933648337,7.616,51.5565536600977,-3.42928468606061,1261224954.0
PNG Road Maintenance and Rehabilitation Project II,East Asia and Pacific,Papua New Guinea,Blend,FCS,Blend FCS,Infrastructure,Transport,IDA,IPF,2011,2023.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,PNG,17985138065.8549,2288.37591141234,1.10754362619616,4.44083401028974,2.62,,-1.10018483437862,7859346.0
Timor Leste Road Climate Resilience Project,East Asia and Pacific,Timor-Leste,Blend,FCS,Blend FCS,Infrastructure,Transport,IDA,IPF,2011,2023.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,TLS,1042534600.0,939.045241112693,5.95853971210654,13.4998402385771,3.384,,225.032885152327,1110207.0
Agriculture and Rural Development,Europe and Central Asia,Kosovo,IDA,FCS,IDA FCS,Sustainable Development,Agriculture and Food,IDA,IPF,2011,2023.0,ICRR,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,XKX,6341613609.97976,3538.94759838576,6.31981022896761,7.33641771315268,,,-13.3320955733888,1791949.0
Upgrading and Greening the Rio de Janeiro Urban Rail System,Latin America and Caribbean,Brazil,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,2010,2023.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,BRA,2208837745100.55,11403.2821278747,7.52822581815364,5.03872690108075,8.422,61.3187804643039,-3.92594604454763,193701929.0
Kazakhstan - Tax Administration Reform Project,Europe and Central Asia,Kazakhstan,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions",Governance,IBRD,IPF,2010,2022.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2024,KAZ,148047348240.643,8793.07589980782,7.30000000329814,7.40046356341392,5.77,9.52296325134078,1.80897140296935,16836810.0
Vietnam Livestock Competitiveness and Food Safety,East Asia and Pacific,Viet Nam,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Agriculture and Food,IDA,IPF,2010,2019.0,PPAR,Moderately Unsatisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2024,VNM,147201173196.979,1683.16182443979,6.42324482239482,9.20746648778415,1.114,,-2.90486815229253,87455152.0
Integrated Transport,Eastern and Southern Africa,Botswana,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,2009,2022.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Negligible,2024,BWA,10118459242.3183,5082.93388332404,-14.1442346163423,,16.169,19.2517818685668,-6.40593961472032,1990673.0
Turkey Land Registration and Cadastre Modernization Project,Europe and Central Asia,Turkiye,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,2008,2023.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,TUR,770449132861.373,10843.5036940489,0.815024573007705,10.4441283764885,10.965,40.8891753601982,-5.11727488790541,71051678.0
Northern Delta Transport Development Project,East Asia and Pacific,Viet Nam,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IDA,IPF,2008,2023.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2024,VNM,99130304099.1274,1163.83195772873,5.66177120891362,23.1154483474477,1.889,,-10.9179529896098,85175788.0
Sustainable Energy Financing Program,East Asia and Pacific,Pacific Islands,Other,non-FCS,Other,Infrastructure,Energy & Extractives,GEF,IPF,2007,2022.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2024,,,,,,,,,
Second State Statistical System Development Project,Europe and Central Asia,Russian Federation,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions",Poverty and Equity,IBRD,IPF,2007,2022.0,ICRR,Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2024,RUS,1299703478481.65,9101.2392578125,8.49997776916511,9.0072986886108,6.002,7.15843011658404,5.55457619335894,142805114.0
Third Water Supply and Sanitation for Low-Income Communities / Community Based Water Supply Project (PAMSIMAS III),East Asia and Pacific,Indonesia,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Water,IDA,IPF,2006,2023.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2024,IDN,364570515618.357,1558.31562847163,5.50095178520348,13.108670985346,7.551,,2.97870868013903,233951652.0
Afghanistan COVID-19 Response Development Policy Grant,"Middle East, North Africa, Afghanistan, and Pakist",Afghanistan,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2021,2021.0,ICRR,Unsatisfactory,Not Evaluated,Not Evaluated,Moderately Satisfactory,Not Evaluated,2023,AFG,14259995441.0759,356.496214115892,-20.7388393676343,5.1332034082496,11.994,,,40000412.0
2021 Afghanistan Incentive Program Development Policy Grant,"Middle East, North Africa, Afghanistan, and Pakist",Afghanistan,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2021,2022.0,ICRR,Highly Unsatisfactory,Not Evaluated,Not Evaluated,Moderately Satisfactory,Not Evaluated,2023,AFG,14259995441.0759,356.496214115892,-20.7388393676343,5.1332034082496,11.994,,,40000412.0
Emergency Agriculture and Food Supply Project,"Middle East, North Africa, Afghanistan, and Pakist",Afghanistan,IDA,FCS,IDA FCS,Sustainable Development,Agriculture and Food,IDA,IPF,2021,2025.0,ICRR,Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2023,AFG,14259995441.0759,356.496214115892,-20.7388393676343,5.1332034082496,11.994,,,40000412.0
COVID-19 Relief Effort for Afghan Communities and Households (REACH),"Middle East, North Africa, Afghanistan, and Pakist",Afghanistan,IDA,FCS,IDA FCS,Sustainable Development,Social Sustainability and Inclusion,IDA,IPF,2021,2025.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,High,2023,AFG,14259995441.0759,356.496214115892,-20.7388393676343,5.1332034082496,11.994,,,40000412.0
Benin  COVID-19 Education Response GPE Project,Western and Central Africa,Benin,IDA,non-FCS,IDA non-FCS,Human Development,Education,RETF,IPF,2021,2022.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2023,BEN,17687623534.6665,1318.65158107487,7.1554516457574,1.73353962694033,1.779,,-4.1535207096168,13413417.0
Benin Second Fiscal Management and Structural Transformation DPF,Western and Central Africa,Benin,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2021,2022.0,ICRR,Satisfactory,Not Evaluated,Not Evaluated,Satisfactory,Not Evaluated,2023,BEN,17687623534.6665,1318.65158107487,7.1554516457574,1.73353962694033,1.779,,-4.1535207096168,13413417.0
Burkina Faso COVID-19 Crisis-Response Development Policy Financing,Western and Central Africa,Burkina Faso,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2021,2022.0,ICRR,Moderately Satisfactory,Not Evaluated,Not Evaluated,Satisfactory,Not Evaluated,2023,BFA,19697516284.3787,895.535288442991,6.94252492572348,3.65326761825511,5.2,55.5822235545459,0.392208859644244,21995243.0
Cote D'Ivoire COVID-19 Emergency DPO 2021,Western and Central Africa,Cote d'Ivoire,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2021,2022.0,ICRR,Satisfactory,Not Evaluated,Not Evaluated,Satisfactory,Not Evaluated,2023,CIV,72794636649.4342,2455.98127626488,7.06332910205232,4.09195189692865,2.63,,-3.94825311476952,29639736.0
Cabo Verde Second State-Owned Enterprises Reform and Fiscal Management Development Policy Financing,Western and Central Africa,Cabo Verde,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2021,2022.0,ICRR,Moderately Unsatisfactory,Not Evaluated,Not Evaluated,Moderately Satisfactory,Not Evaluated,2023,CPV,2051842618.70539,3971.44409203423,7.03353010694514,1.86215297494641,13.976,,-12.2149776787505,516649.0
Indonesia Investment and Trade Reforms DPL,East Asia and Pacific,Indonesia,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2021,2022.0,ICRR,Moderately Satisfactory,Not Evaluated,Not Evaluated,Satisfactory,Not Evaluated,2023,IDN,1186509691086.73,4287.17313995098,3.70288562827751,1.56007882983335,3.827,,0.295885914526078,276758053.0
KENYA GPE COVID 19 LEARNING CONTINUITY IN BASIC EDUCATION PROJECT,Eastern and Southern Africa,Kenya,Blend,non-FCS,Blend non-FCS,Human Development,Education,RETF,IPF,2021,2022.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2023,KEN,109703658904.994,2061.35622089594,7.59048947333467,6.10793603659178,5.693,,-4.59900811539261,53219166.0
Kiribati Second Inclusive Growth and Resilience Development Policy Operation,East Asia and Pacific,Kiribati,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2021,2022.0,ICRR,Moderately Unsatisfactory,Not Evaluated,Not Evaluated,Moderately Satisfactory,Not Evaluated,2023,KIR,285259893.983064,2222.04829512346,8.47973787138213,2.05361676773904,,,7.09912578468311,128377.0
Madagascar Covid-19 Response DPO,Eastern and Southern Africa,Madagascar,IDA,non-FCS,IDA non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,DPF,2021,2021.0,ICRR,Moderately Satisfactory,Not Evaluated,Not Evaluated,Moderately Satisfactory,Not Evaluated,2023,MDG,14354731964.331,483.469463351371,4.65068343193992,5.81225118787713,3.487,,-5.02937129931376,29691083.0
Environmental Sustainability and Urban Resilience DPF,Latin America and Caribbean,Mexico,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IBRD,DPF,2021,2022.0,ICRR,Satisfactory,Not Evaluated,Not Evaluated,Satisfactory,Not Evaluated,2023,MEX,1316569466735.28,10314.0506725979,6.04848345704632,5.68920847683757,4.019,44.8609558048196,-0.346548814041227,127648148.0
Mozambique Covid19 Response DPO,Eastern and Southern Africa,Mozambique,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2021,2021.0,ICRR,Moderately Satisfactory,Not Evaluated,Not Evaluated,Moderately Satisfactory,Not Evaluated,2023,MOZ,16168055475.4449,509.907829475551,2.37743572761507,6.40847652975689,4.053,84.1569664621914,-21.1927915856731,31707800.0
